Document ID,Clause ID,Clause Text,Clause Type,Risk Level,Sentiment Label,Sentiment Score
DOC037,CL0306,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Aggressive,-0.86
DOC030,CL0177,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,-0.48
DOC022,CL0854,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.25
DOC001,CL0104,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,0.96
DOC006,CL0569,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,0.49
DOC018,CL0973,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,0.03
DOC045,CL0512,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,-0.74
DOC029,CL0645,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,0.58
DOC009,CL0088,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,0.91
DOC003,CL0702,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,-0.96
DOC044,CL0742,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.49
DOC038,CL0032,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,High,Collaborative,-0.37
DOC031,CL0300,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Aggressive,-0.35
DOC030,CL0358,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,-0.27
DOC027,CL0489,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Neutral,0.83
DOC035,CL0476,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Collaborative,-0.09
DOC025,CL0854,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Neutral,0.52
DOC033,CL0471,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,0.01
DOC015,CL0987,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,0.13
DOC025,CL0310,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.86
DOC024,CL0716,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,-0.37
DOC043,CL0145,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.83
DOC023,CL0737,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.88
DOC005,CL0533,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Medium,Aggressive,0.53
DOC014,CL0420,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,0.62
DOC022,CL0250,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,0.31
DOC008,CL0597,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.61
DOC009,CL0474,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Neutral,0.22
DOC009,CL0676,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,-0.4
DOC031,CL0787,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,-0.69
DOC050,CL0004,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Low,Collaborative,0.07
DOC010,CL0220,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,0.17
DOC017,CL0019,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,-0.96
DOC005,CL0022,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Aggressive,0.28
DOC020,CL0670,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,0.14
DOC020,CL0257,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,0.28
DOC021,CL0490,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,-0.73
DOC002,CL0207,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,0.44
DOC045,CL0441,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.85
DOC033,CL0572,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,0.61
DOC028,CL0669,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Neutral,-0.38
DOC037,CL0971,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Aggressive,0.69
DOC036,CL0782,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,High,Aggressive,-0.97
DOC036,CL0138,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,-0.06
DOC040,CL0261,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,High,Neutral,0.15
DOC042,CL0392,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Collaborative,0.21
DOC033,CL0865,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,-0.5
DOC029,CL0413,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Neutral,0.16
DOC029,CL0559,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,0.22
DOC041,CL0111,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Medium,Collaborative,0.86
DOC049,CL0647,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.28
DOC046,CL0713,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.46
DOC009,CL0145,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Neutral,0.78
DOC039,CL0616,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Collaborative,-0.61
DOC007,CL0647,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Neutral,0.4
DOC035,CL0485,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,-0.75
DOC028,CL0543,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.23
DOC015,CL0608,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.12
DOC045,CL0493,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,0.38
DOC031,CL0332,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,-0.04
DOC025,CL0156,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.25
DOC039,CL0529,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Low,Aggressive,0.32
DOC035,CL0203,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,-0.33
DOC005,CL0037,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,-0.74
DOC020,CL0829,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,-0.66
DOC010,CL0068,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.62
DOC011,CL0989,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,-0.83
DOC040,CL0719,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,-0.24
DOC001,CL0051,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,-0.95
DOC003,CL0921,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,0.94
DOC020,CL0318,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,0.49
DOC014,CL0310,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.35
DOC014,CL0311,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Medium,Collaborative,-0.41
DOC028,CL0297,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,0.54
DOC024,CL0402,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Neutral,0.14
DOC028,CL0380,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Aggressive,0.17
DOC038,CL0532,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Collaborative,1.0
DOC025,CL0765,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.53
DOC049,CL0953,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,0.04
DOC005,CL0407,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,0.09
DOC012,CL0953,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Low,Neutral,0.86
DOC024,CL0493,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.04
DOC028,CL0758,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Collaborative,0.97
DOC045,CL0079,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,0.87
DOC014,CL0955,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,0.65
DOC004,CL0044,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,-0.75
DOC033,CL0684,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,0.61
DOC040,CL0992,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.82
DOC035,CL0055,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,0.07
DOC021,CL0973,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Neutral,-0.24
DOC016,CL0417,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,0.21
DOC016,CL0930,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Neutral,0.03
DOC046,CL0515,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Medium,Neutral,-0.21
DOC010,CL0223,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Aggressive,0.32
DOC015,CL0679,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,0.47
DOC012,CL0912,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.66
DOC026,CL0807,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Collaborative,-0.21
DOC006,CL0101,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.82
DOC016,CL0585,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.52
DOC041,CL0696,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,0.82
DOC026,CL0280,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,0.97
DOC050,CL0509,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,-0.31
DOC010,CL0216,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,0.91
DOC046,CL0368,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,0.43
DOC035,CL0399,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Aggressive,-0.71
DOC004,CL0129,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Medium,Neutral,-0.8
DOC048,CL0178,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.5
DOC016,CL0523,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Collaborative,0.93
DOC025,CL0959,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,High,Collaborative,0.5
DOC024,CL0543,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Aggressive,0.17
DOC044,CL0667,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,-0.73
DOC041,CL0956,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.42
DOC013,CL0549,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.92
DOC045,CL0620,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,0.93
DOC046,CL0556,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Aggressive,0.62
DOC011,CL0366,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,0.03
DOC015,CL0688,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,0.53
DOC032,CL0076,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Neutral,0.01
