TransactionID,Date,CustomerID,ItemsPurchased,TotalAmount,StoreLocation,PaymentMethod,PurchaseCategory,DiscountApplied,TimeOfDay
1,2024-08-05,C3314,"Chicken, Bread, Eggs, Fruits",123.17,Suburbs,Mobile Payment,Groceries,True,Morning
2,2024-04-01,C8474,Vegetables,138.47,Suburbs,Debit Card,Household,True,Evening
3,2024-08-01,C2321,Pasta,23.59,Mall,Debit Card,Clothing,False,Morning
4,2024-01-01,C1074,"Rice, Milk, Fruits",27.07,Suburbs,Credit Card,Electronics,True,Afternoon
5,2024-07-23,C6932,"Fruits, Milk",26.59,Mall,Credit Card,Clothing,False,Evening
6,2024-07-03,C2204,"Vegetables, Chicken, Eggs, Rice",78.2,Rural,Cash,Clothing,True,Evening
7,2024-09-28,C5014,Vegetables,63.01,Suburbs,Credit Card,Books,False,Morning
8,2024-11-08,C8704,Vegetables,160.96,Rural,Credit Card,Clothing,False,Evening
9,2024-08-31,C9739,Pasta,118.17,Rural,Cash,Electronics,True,Night
10,2024-07-03,C5437,"Vegetables, Milk",73.45,Rural,Cash,Books,False,Evening
11,2024-11-08,C3264,"Milk, Cheese",23.47,Mall,Debit Card,Groceries,False,Evening
12,2024-04-03,C2580,"Pasta, Fruits, Vegetables, Chicken, Bread",74.51,Mall,Cash,Household,True,Night
13,2024-08-29,C6868,Fruits,101.92,Rural,Credit Card,Groceries,False,Evening
14,2024-04-21,C3557,"Pasta, Bread, Chicken, Cheese, Fruits",53.34,Suburbs,Credit Card,Clothing,True,Night
15,2024-07-09,C6504,"Chicken, Pasta",79.79,Suburbs,Mobile Payment,Clothing,False,Night
16,2024-06-10,C4375,"Pasta, Chicken, Butter, Eggs, Fruits",28.08,Mall,Mobile Payment,Clothing,True,Morning
17,2024-02-06,C3791,Vegetables,196.17,Suburbs,Credit Card,Electronics,True,Evening
18,2024-08-27,C7780,"Milk, Rice, Butter",111.19,Mall,Cash,Household,False,Night
19,2024-01-14,C7547,"Rice, Milk, Eggs, Fruits, Vegetables",104.46,Downtown,Mobile Payment,Groceries,False,Afternoon
20,2024-05-19,C1862,"Fruits, Eggs, Pasta",81.01,Mall,Credit Card,Groceries,True,Morning
21,2024-05-26,C4684,Cheese,163.82,Suburbs,Cash,Books,True,Morning
22,2024-02-28,C1166,"Vegetables, Chicken, Rice",12.35,Mall,Debit Card,Groceries,True,Afternoon
23,2024-11-20,C8655,Eggs,72.31,Suburbs,Credit Card,Books,True,Afternoon
24,2024-10-18,C9623,"Milk, Butter, Fruits, Vegetables",141.23,Mall,Cash,Electronics,False,Afternoon
25,2024-07-05,C8805,"Milk, Pasta, Eggs, Fruits, Chicken",91.87,Suburbs,Credit Card,Electronics,True,Night
26,2024-01-01,C6238,"Fruits, Milk",152.72,Mall,Mobile Payment,Groceries,True,Morning
27,2024-09-14,C4216,"Cheese, Bread, Vegetables",176.7,Rural,Debit Card,Household,False,Evening
28,2024-07-05,C7962,"Cheese, Bread, Rice",57.84,Rural,Mobile Payment,Electronics,True,Afternoon
29,2024-11-23,C3836,"Butter, Fruits, Pasta, Vegetables",164.98,Rural,Debit Card,Clothing,True,Evening
30,2024-04-04,C6688,"Butter, Bread, Milk, Pasta",149.31,Rural,Debit Card,Electronics,True,Evening
31,2024-07-30,C1834,"Butter, Milk, Cheese",195.19,Suburbs,Mobile Payment,Clothing,True,Evening
32,2024-05-25,C7725,"Rice, Vegetables, Chicken, Eggs, Milk",25.01,Downtown,Credit Card,Books,True,Morning
33,2024-01-13,C8141,"Fruits, Butter, Pasta, Rice",116.48,Rural,Mobile Payment,Electronics,True,Evening
34,2024-05-10,C1503,"Bread, Eggs, Chicken, Pasta, Fruits",78.86,Downtown,Mobile Payment,Books,True,Afternoon
35,2024-03-19,C4140,"Eggs, Milk, Cheese, Pasta",55.29,Suburbs,Cash,Groceries,False,Afternoon
36,2024-11-03,C5945,"Pasta, Milk, Fruits, Cheese",112.75,Downtown,Debit Card,Books,False,Afternoon
37,2024-01-25,C2265,"Rice, Eggs, Chicken, Bread",80.14,Downtown,Mobile Payment,Clothing,False,Afternoon
38,2024-08-26,C9829,"Chicken, Pasta, Cheese, Butter, Eggs",8.42,Mall,Debit Card,Household,True,Morning
39,2024-03-08,C8893,"Bread, Fruits, Vegetables",82.7,Downtown,Cash,Clothing,False,Night
40,2024-02-03,C8343,"Pasta, Vegetables",11.92,Rural,Debit Card,Books,True,Night
41,2024-01-14,C9648,"Vegetables, Bread, Rice",22.92,Mall,Cash,Household,False,Night
42,2024-06-04,C7482,"Bread, Vegetables, Butter, Chicken, Eggs",13.03,Rural,Cash,Household,True,Morning
43,2024-09-09,C8538,"Fruits, Vegetables, Bread, Pasta, Chicken",195.06,Downtown,Mobile Payment,Household,True,Morning
44,2024-11-14,C2126,Milk,32.85,Rural,Cash,Electronics,False,Afternoon
45,2024-03-27,C4437,"Pasta, Fruits, Vegetables",54.15,Suburbs,Debit Card,Groceries,True,Evening
46,2024-02-27,C9086,"Rice, Chicken, Cheese, Butter",118.28,Rural,Credit Card,Clothing,True,Morning
47,2024-04-17,C8260,"Milk, Pasta, Bread, Butter",161.46,Downtown,Mobile Payment,Books,False,Evening
48,2024-09-19,C6753,"Chicken, Eggs, Rice",72.2,Rural,Cash,Clothing,False,Night
49,2024-01-06,C9643,Chicken,150.18,Downtown,Mobile Payment,Groceries,True,Morning
50,2024-01-06,C4787,"Milk, Butter, Rice",126.09,Mall,Mobile Payment,Electronics,False,Evening
51,2024-07-13,C1557,Chicken,33.57,Suburbs,Credit Card,Household,True,Evening
52,2024-10-13,C4797,"Rice, Bread, Butter",48.74,Rural,Cash,Books,False,Morning
53,2024-01-06,C3554,"Vegetables, Chicken",144.36,Suburbs,Debit Card,Groceries,False,Night
54,2024-03-02,C7381,Bread,117.48,Rural,Cash,Electronics,False,Evening
55,2024-03-24,C2422,"Pasta, Bread, Milk, Fruits, Rice",102.45,Mall,Debit Card,Household,False,Night
56,2024-06-05,C7131,"Milk, Pasta",196.04,Downtown,Credit Card,Clothing,True,Afternoon
57,2024-02-26,C3511,"Vegetables, Milk, Rice, Chicken, Cheese",149.77,Mall,Debit Card,Books,False,Afternoon
58,2024-08-04,C1945,"Vegetables, Butter, Cheese, Milk, Chicken",85.49,Downtown,Mobile Payment,Clothing,True,Night
59,2024-06-17,C1692,Bread,139.97,Suburbs,Mobile Payment,Clothing,False,Afternoon
60,2024-07-18,C1164,"Bread, Milk",110.67,Suburbs,Cash,Groceries,True,Afternoon
61,2024-08-23,C3287,"Rice, Vegetables, Chicken, Bread, Pasta",97.74,Downtown,Cash,Household,False,Morning
62,2024-01-09,C6170,Chicken,182.73,Downtown,Debit Card,Groceries,False,Afternoon
63,2024-02-05,C5727,"Fruits, Bread, Butter, Eggs",87.72,Mall,Debit Card,Groceries,True,Night
64,2024-05-26,C5097,Chicken,44.69,Suburbs,Debit Card,Household,True,Morning
65,2024-03-25,C3374,"Vegetables, Pasta, Rice",154.9,Suburbs,Debit Card,Books,True,Night
66,2024-01-17,C3014,"Cheese, Rice, Chicken",24.64,Mall,Mobile Payment,Electronics,True,Evening
67,2024-03-06,C9566,"Chicken, Milk, Rice",76.53,Suburbs,Debit Card,Books,True,Night
68,2024-01-04,C6960,"Bread, Rice, Eggs, Milk",79.78,Rural,Mobile Payment,Electronics,False,Evening
69,2024-06-11,C7891,Milk,143.71,Suburbs,Mobile Payment,Electronics,False,Night
70,2024-08-05,C5761,"Cheese, Eggs, Vegetables",178.28,Suburbs,Debit Card,Clothing,False,Morning
71,2024-02-07,C7626,"Rice, Pasta, Butter, Fruits",70.5,Downtown,Cash,Groceries,False,Morning
72,2024-11-30,C6077,"Vegetables, Butter, Bread, Fruits",22.68,Downtown,Debit Card,Household,False,Morning
73,2024-10-17,C7577,"Butter, Bread, Vegetables",169.06,Suburbs,Debit Card,Household,False,Morning
74,2024-05-22,C1164,"Butter, Milk, Rice",15.03,Mall,Credit Card,Household,True,Evening
75,2024-07-15,C8864,"Eggs, Vegetables",150.79,Suburbs,Debit Card,Clothing,True,Afternoon
76,2024-10-17,C5267,"Cheese, Vegetables, Rice, Chicken, Fruits",118.57,Rural,Debit Card,Electronics,False,Morning
77,2024-01-01,C7740,"Fruits, Cheese, Milk, Rice",78.18,Suburbs,Mobile Payment,Groceries,True,Evening
78,2024-01-06,C9358,"Eggs, Butter, Chicken",112.93,Mall,Credit Card,Groceries,True,Evening
79,2024-09-05,C8771,"Milk, Vegetables, Chicken, Rice, Bread",71.31,Downtown,Cash,Groceries,False,Evening
80,2024-10-08,C6986,Chicken,63.17,Rural,Mobile Payment,Books,False,Evening
81,2024-07-01,C8331,"Milk, Butter",22.37,Rural,Debit Card,Electronics,True,Afternoon
82,2024-05-29,C6522,"Pasta, Vegetables, Rice",168.62,Downtown,Mobile Payment,Clothing,False,Afternoon
83,2024-09-03,C9459,"Pasta, Fruits, Eggs, Chicken",9.03,Rural,Mobile Payment,Clothing,False,Morning
84,2024-07-16,C9228,"Rice, Fruits",130.37,Mall,Credit Card,Household,True,Evening
85,2024-09-11,C9553,"Chicken, Eggs, Butter, Vegetables, Pasta",167.51,Suburbs,Cash,Household,True,Morning
86,2024-07-31,C6482,"Vegetables, Chicken",76.02,Mall,Mobile Payment,Household,False,Afternoon
87,2024-07-24,C5428,"Butter, Vegetables",140.25,Suburbs,Credit Card,Household,False,Evening
88,2024-10-23,C4411,Butter,135.59,Mall,Credit Card,Electronics,True,Afternoon
89,2024-04-28,C6590,"Fruits, Rice, Butter",118.12,Downtown,Debit Card,Books,True,Morning
90,2024-11-01,C7258,Vegetables,145.01,Mall,Credit Card,Books,True,Evening
91,2024-04-05,C2318,Milk,182.82,Suburbs,Credit Card,Clothing,False,Afternoon
92,2024-08-27,C7908,"Chicken, Milk, Fruits, Bread",128.95,Suburbs,Credit Card,Books,True,Morning
93,2024-07-07,C8762,"Fruits, Vegetables, Bread, Eggs, Butter",114.66,Suburbs,Debit Card,Electronics,False,Morning
